date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
13-07-2016,4321.399902,732.2249756,481.1000061,2657.100098,3245.899902,1953.655029,373.25,354.4500122,90.94999695,34490.05078
14-07-2016,4428.299805,723.625,486.1000061,2665.100098,3261,1951.709961,364.2749939,350.0499878,91.5,34567.30078
15-07-2016,4472.049805,732.4000244,494,2695.600098,3244.100098,1978.10498,364.2250061,345.0249939,91.69999695,34221.85156
18-07-2016,4454.75,734.3499756,492.6499939,2755.350098,3249.699951,1995.420044,368.9750061,338.9750061,93,34599.14844
19-07-2016,4485.700195,728.2999878,499.25,2758.850098,3231.199951,1970.994995,372.3250122,348.7250061,93.44999695,34829.5
20-07-2016,4469.149902,730.7000122,493.8999939,2779.350098,3275.25,1984.97998,373.125,345.1749878,93.44999695,35317.55078
21-07-2016,4413.700195,717.4249878,491.0499878,2770.600098,3266.300049,1975.5,363.9750061,345.125,96.84999847,34389.30078
22-07-2016,4414.700195,720.2750244,507.2000122,2720.600098,3260.850098,1981.25,367.875,348.375,96.69999695,34153.60156
25-07-2016,4550.549805,731.8250122,509,2700.850098,3280.050049,1997.204956,372.9750061,355.1749878,96.15000153,34668.05078
26-07-2016,4471.299805,724.4749756,503.25,2673.949951,3210.100098,2011.219971,368.4500122,355.3500061,94.40000153,33862.5
27-07-2016,4558.149902,726.9000244,510.1000061,2670.149902,3204.649902,2033.974976,369.5499878,356.5,94.69999695,34026.10156
28-07-2016,4763.5,726.25,506.8500061,2660.5,3197.300049,2109.97998,374.75,367.5249939,94.09999847,34053.89844
29-07-2016,4757.600098,733.375,503.2000122,2700.800049,3203.149902,2246.084961,380.4750061,364.6000061,95.25,33844.14844
01-08-2016,4866.25,735.0750122,508.25,2736.149902,3215.050049,2232.52002,374.875,363.125,91.59999847,33799.14844
02-08-2016,4986.049805,728.9749756,493.2999878,2747.649902,3261.699951,2184.64502,364.125,363.1749878,88.15000153,33922.44922
03-08-2016,4873.850098,723.25,478.3999939,2714.850098,3231,2136.840088,362.5499878,356.25,85.5,34605.85156
04-08-2016,4889.649902,717.8499756,500,2744,3276.300049,2140.399902,362.2250061,356.875,86.30000305,35315.39844
05-08-2016,4941.649902,742,516.4000244,2862.100098,3443.949951,2222.314941,407.1499939,369.3250122,88.09999847,37068.19922
08-08-2016,4991.75,748.9249878,514.7999878,2871.449951,3457.350098,2243.165039,412.8250122,366.6499939,89.15000153,37092.44922
09-08-2016,4960.850098,740.375,513.7999878,2866.800049,3411.800049,2208.23999,411.4750061,367.2250061,89.5,36902.44922
10-08-2016,4861.600098,724.5750122,503.4500122,2856,3317.300049,2173.969971,411.125,362.2000122,87.94999695,36716.85156
11-08-2016,4878.649902,710.7999878,503.25,2846.350098,3304.850098,2226.830078,405.125,364.7250061,87.19999695,36660.75
12-08-2016,4898.600098,725.4249878,516.7999878,2868.699951,3310.949951,2232.159912,411.9249878,365.6000061,86.65000153,36129.25
16-08-2016,4864.200195,721.8250122,507.6000061,2883.050049,3291.300049,2246.165039,420.125,371.6000061,86.65000153,36126.30078
17-08-2016,4889.850098,725.25,510.3999939,2939.649902,3358.75,2234.804932,423.7999878,373.1749878,86.69999695,36525.05078
18-08-2016,4915.850098,730.125,512.0499878,2946.100098,3368.449951,2217.47998,420.0750122,380.6499939,87.55000305,36553.94922
19-08-2016,4900.100098,729.4749756,510,2933.199951,3357.75,2177.72998,419.7749939,374.125,87,36110.10156
22-08-2016,4837.75,721.7750244,503.9500122,2924.899902,3336.5,2179.5,416.8500061,374.5249939,87.09999847,35485.60156
23-08-2016,4833.799805,721.3499756,504,2878.800049,3307.899902,2200.985107,430.75,372.625,87.84999847,35744.25
24-08-2016,4948.549805,717.4249878,498.3500061,2869.699951,3310.699951,2213.225098,427.9500122,375.0499878,88.55000305,36300.30078
25-08-2016,4933.700195,706.9249878,493.8500061,2862.399902,3304.600098,2209.060059,425.8500061,383.2999878,86.55000305,36458.85156
26-08-2016,4920.899902,712.4249878,503.75,2858.25,3304.850098,2233.100098,428.6749878,392.2000122,87.69999695,36339.69922
29-08-2016,4927.399902,711.2000122,525.2999878,2887.850098,3412,2230.804932,427.1749878,416.8999939,87.90000153,37471.64844
30-08-2016,5067.649902,718,529,2978.899902,3477.5,2304.310059,429.9249878,423.1000061,88.40000153,37591.44922
31-08-2016,5053.649902,718.2999878,537.7000122,2978.5,3541.350098,2275.094971,425.1499939,438.8250122,87.55000305,37431.80078
